temperature,humidity,wind_speed,latitude,latitude,longitude,longitude
20.2,40,1.79,39.3504,40.7128,1.3295,-74.006
19.66,40,4.12,32.1528,41.8781,-97.3349,-87.6298
20.2,40,1.79,38.9555,40.7128,-10.0268,-74.006
20.2,40,1.79,35.1162,40.7128,-80.8466,-74.006
22.99,26,2.06,45.9555,34.0522,-123.1815,-118.2437
22.99,26,2.06,32.4298,34.0522,-111.1479,-118.2437
19.66,40,4.12,39.9287,41.8781,-84.0836,-87.6298
22.99,26,2.06,38.7598,34.0522,-108.3653,-118.2437
20.2,40,1.79,44.7575,40.7128,26.7674,-74.006
19.66,40,4.12,30.9506,41.8781,-99.7429,-87.6298
20.2,40,1.79,41.284,40.7128,-74.3136,-74.006
20.2,40,1.79,-20.7348,40.7128,-49.1932,-74.006
20.2,40,1.79,51.5957,40.7128,50.1827,-74.006
19.66,40,4.12,28.9526,41.8781,-83.4363,-87.6298
20.2,40,1.79,49.8671,40.7128,11.8256,-74.006
22.99,26,2.06,60.6965,34.0522,-150.9671,-118.2437
20.2,40,1.79,43.7636,40.7128,-78.9391,-74.006
20.2,40,1.79,46.3997,40.7128,6.1834,-74.006
19.66,40,4.12,35.1765,41.8781,-90.6258,-87.6298
20.2,40,1.79,40.9843,40.7128,47.2938,-74.006
22.99,26,2.06,54.5832,34.0522,-129.9401,-118.2437
20.2,40,1.79,42.5458,40.7128,-71.7462,-74.006
19.66,40,4.12,30.328,41.8781,-87.8941,-87.6298
22.99,26,2.06,39.7455,34.0522,-111.8635,-118.2437
20.2,40,1.79,47.648,40.7128,7.435,-74.006
20.2,40,1.79,47.6461,40.7128,-61.831,-74.006
20.2,40,1.79,48.086,40.7128,-0.9213,-74.006
20.2,40,1.79,49.6688,40.7128,7.792,-74.006
20.2,40,1.79,29.1184,40.7128,-80.7296,-74.006
19.66,40,4.12,36.195,41.8781,-87.2932,-87.6298
19.66,40,4.12,42.9993,41.8781,-88.1421,-87.6298
20.2,40,1.79,41.0038,40.7128,4.2897,-74.006
20.2,40,1.79,32.4797,40.7128,-81.6436,-74.006
20.2,40,1.79,39.3962,40.7128,24.0366,-74.006
20.2,40,1.79,40.7929,40.7128,-74.1493,-74.006
19.66,40,4.12,31.896,41.8781,-87.1006,-87.6298
19.66,40,4.12,32.1166,41.8781,-87.207,-87.6298
20.2,40,1.79,41.2937,40.7128,-74.4164,-74.006
19.66,40,4.12,42.5308,41.8781,-86.7486,-87.6298
22.99,26,2.06,47.5153,34.0522,-122.2143,-118.2437
20.2,40,1.79,26.566,40.7128,-82.4529,-74.006
20.2,40,1.79,35.2926,40.7128,-80.8304,-74.006
19.66,40,4.12,44.8286,41.8781,-93.0979,-87.6298
19.66,40,4.12,34.5842,41.8781,-97.024,-87.6298
22.99,26,2.06,32.6645,34.0522,-102.9683,-118.2437
22.99,26,2.06,39.8851,34.0522,-111.7043,-118.2437
22.99,26,2.06,40.1594,34.0522,-105.1535,-118.2437
20.2,40,1.79,49.9927,40.7128,8.9462,-74.006
20.2,40,1.79,32.4408,40.7128,-80.828,-74.006
20.2,40,1.79,45.6115,40.7128,9.583,-74.006
19.66,40,4.12,26.7468,41.8781,-83.0793,-87.6298
20.2,40,1.79,41.0035,40.7128,-77.5547,-74.006
22.99,26,2.06,34.1749,34.0522,-119.2533,-118.2437
19.66,40,4.12,38.6532,41.8781,-94.8512,-87.6298
20.2,40,1.79,41.7523,40.7128,-1.4291,-74.006
19.66,40,4.12,41.3337,41.8781,-95.9251,-87.6298
22.99,26,2.06,48.9489,34.0522,-123.6413,-118.2437
20.2,40,1.79,51.6783,40.7128,-1.0477,-74.006
22.99,26,2.06,33.4329,34.0522,-112.0263,-118.2437
19.66,40,4.12,34.917,41.8781,-86.9883,-87.6298
19.66,40,4.12,38.3535,41.8781,-85.9213,-87.6298
20.2,40,1.79,30.8824,40.7128,-81.6812,-74.006
20.2,40,1.79,47.0953,40.7128,15.0489,-74.006
22.99,26,2.06,31.8834,34.0522,-101.7506,-118.2437
20.2,40,1.79,51.0676,40.7128,-6.0717,-74.006
19.66,40,4.12,29.7276,41.8781,-98.6944,-87.6298
19.66,40,4.12,31.1316,41.8781,-97.9712,-87.6298
20.2,40,1.79,29.6067,40.7128,-78.2533,-74.006
22.99,26,2.06,34.1445,34.0522,-118.3003,-118.2437
20.2,40,1.79,38.8635,40.7128,-75.0203,-74.006
20.2,40,1.79,40.9703,40.7128,-72.7072,-74.006
20.2,40,1.79,50.0604,40.7128,0.5429,-74.006
20.2,40,1.79,48.7076,40.7128,9.5637,-74.006
19.66,40,4.12,37.5766,41.8781,-97.9872,-87.6298
22.99,26,2.06,15.0449,34.0522,102.9693,-118.2437
20.2,40,1.79,20.1646,40.7128,-68.9411,-74.006
20.2,40,1.79,55.0368,40.7128,-1.7099,-74.006
20.2,40,1.79,40.7394,40.7128,-9.8538,-74.006
19.66,40,4.12,44.0754,41.8781,-80.36,-87.6298
20.2,40,1.79,29.4974,40.7128,-80.5566,-74.006
19.66,40,4.12,35.2458,41.8781,-81.7123,-87.6298
19.66,40,4.12,40.9955,41.8781,-81.7407,-87.6298
20.2,40,1.79,21.182,40.7128,-73.9078,-74.006
19.66,40,4.12,33.2518,41.8781,-97.3118,-87.6298
20.2,40,1.79,47.1264,40.7128,4.5288,-74.006
20.2,40,1.79,39.3271,40.7128,-75.7943,-74.006
20.2,40,1.79,33.1584,40.7128,-81.202,-74.006
20.2,40,1.79,52.4156,40.7128,12.7279,-74.006
20.2,40,1.79,35.5337,40.7128,-77.532,-74.006
19.66,40,4.12,33.8975,41.8781,-85.7242,-87.6298
22.99,26,2.06,39.1193,34.0522,-121.7302,-118.2437
20.2,40,1.79,42.3369,40.7128,9.9794,-74.006
20.2,40,1.79,38.4488,40.7128,-76.5285,-74.006
19.66,40,4.12,33.7632,41.8781,-98.04,-87.6298
19.66,40,4.12,38.9105,41.8781,-90.4901,-87.6298
19.66,40,4.12,29.9933,41.8781,-95.4726,-87.6298
19.66,40,4.12,28.7684,41.8781,-83.2213,-87.6298
20.2,40,1.79,45.6129,40.7128,8.7496,-74.006
22.99,26,2.06,35.1162,34.0522,-116.294,-118.2437
22.99,26,2.06,37.6089,34.0522,-122.385,-118.2437
20.2,40,1.79,35.8603,40.7128,17.5166,-74.006
19.66,40,4.12,38.8915,41.8781,-92.2995,-87.6298
19.66,40,4.12,32.7689,41.8781,-96.8443,-87.6298
22.99,26,2.06,34.5425,34.0522,-106.8723,-118.2437
19.66,40,4.12,39.236,41.8781,-84.3796,-87.6298
20.2,40,1.79,37.0247,40.7128,-3.83,-74.006
20.2,40,1.79,52.0231,40.7128,4.1856,-74.006
20.2,40,1.79,48.4865,40.7128,-79.1483,-74.006
19.66,40,4.12,41.9423,41.8781,-83.4098,-87.6298
20.2,40,1.79,28.3525,40.7128,-82.1891,-74.006
19.66,40,4.12,41.9854,41.8781,-84.6489,-87.6298
20.2,40,1.79,51.6678,40.7128,49.9284,-74.006
19.66,40,4.12,32.4293,41.8781,-101.1073,-87.6298
19.66,40,4.12,29.9305,41.8781,-99.1297,-87.6298
20.2,40,1.79,50.1953,40.7128,9.2911,-74.006
20.2,40,1.79,39.5273,40.7128,27.1894,-74.006
20.2,40,1.79,41.9278,40.7128,-9.3609,-74.006
20.2,40,1.79,40.631,40.7128,-73.1271,-74.006
22.99,26,2.06,44.9235,34.0522,-123.1673,-118.2437
20.2,40,1.79,38.0578,40.7128,-6.2953,-74.006
22.99,26,2.06,18.8494,34.0522,108.2302,-118.2437
20.2,40,1.79,42.1797,40.7128,12.0611,-74.006
20.2,40,1.79,-18.1209,40.7128,-41.7596,-74.006
19.66,40,4.12,44.4308,41.8781,-94.8593,-87.6298
19.66,40,4.12,35.3662,41.8781,-97.1415,-87.6298
20.2,40,1.79,40.6581,40.7128,24.6222,-74.006
20.2,40,1.79,37.2453,40.7128,-5.0238,-74.006
20.2,40,1.79,46.3304,40.7128,14.3993,-74.006
20.2,40,1.79,42.0536,40.7128,-0.988,-74.006
22.99,26,2.06,20.6564,34.0522,-99.0301,-118.2437
19.66,40,4.12,29.5139,41.8781,-89.7431,-87.6298
22.99,26,2.06,33.137,34.0522,-111.4719,-118.2437
20.2,40,1.79,36.2526,40.7128,-80.0741,-74.006
20.2,40,1.79,49.1093,40.7128,21.7788,-74.006
19.66,40,4.12,35.6581,41.8781,-88.7757,-87.6298
20.2,40,1.79,38.7169,40.7128,26.5645,-74.006
20.2,40,1.79,52.8765,40.7128,9.3283,-74.006
20.2,40,1.79,37.8891,40.7128,-11.0212,-74.006
19.66,40,4.12,46.074,41.8781,-100.8523,-87.6298
20.2,40,1.79,51.4602,40.7128,-0.532,-74.006
20.2,40,1.79,36.3409,40.7128,-81.1735,-74.006
22.99,26,2.06,48.0185,34.0522,-123.4114,-118.2437
19.66,40,4.12,30.8198,41.8781,-89.7121,-87.6298
22.99,26,2.06,33.8292,34.0522,-117.4944,-118.2437
20.2,40,1.79,12.9012,40.7128,79.1414,-74.006
20.2,40,1.79,46.1364,40.7128,10.7001,-74.006
20.2,40,1.79,41.5292,40.7128,27.1127,-74.006
