icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,heading,vertical_rate,geo_altitude,squawk,spi,position_source,extra_col_0
a545d8,N439PF  ,United States,1733690101.0,1733690102,-118.6564,35.1342,11269.98,False,230.51,114.11,7.48,,11559.54,7624,False,0
4b1816,SWR1KV  ,Switzerland,1733690102.0,1733690102,9.3981,48.1051,8298.18,False,213.05,34.57,6.18,,8214.36,3025,False,0
ac1c10,N88FY   ,United States,1733690101.0,1733690102,-88.4281,41.9613,1318.26,False,102.22,22.18,-2.6,,1226.82,,False,0
ab1644,UAL2048 ,United States,1733690102.0,1733690102,-77.6241,38.0791,3771.9,False,187.51,34.61,-8.13,,3817.62,2501,False,0
a7e8b8,N609AK  ,United States,1733690101.0,1733690102,-114.965,35.9243,3688.08,False,167.72,171.0,14.63,,3802.38,4734,False,0
4b1818,SWR1LK  ,Switzerland,1733690101.0,1733690101,8.5229,48.6488,6705.6,False,170.8,180.52,-7.15,,6652.26,1000,False,0
aa3cbe,N759PA  ,United States,1733690102.0,1733690102,-111.9286,41.792,2712.72,False,45.81,1.93,-1.95,,2727.96,,False,0
e8027e,LPE2067 ,Chile,1733689802.0,1733689803,-76.6767,-12.9896,6774.18,False,202.22,148.74,8.45,,6667.5,,False,0
a5cb05,N4721B  ,United States,1733690101.0,1733690101,-82.1431,28.7111,975.36,False,38.92,172.41,0.0,,1043.94,,False,0
a1b2e1,N20856  ,United States,1733690101.0,1733690101,-122.6207,47.829,1112.52,False,57.75,64.12,0.33,,1135.38,,False,0
ac494e,CMD12   ,United States,1733690101.0,1733690101,-120.9817,37.724,335.28,False,64.03,171.22,-1.63,,365.76,,False,0
a7b08d,LXJ595  ,United States,1733690102.0,1733690102,-119.3319,35.3474,7924.8,False,211.75,329.32,0.33,,8168.64,2030,False,0
aa56db,UAL710  ,United States,1733690102.0,1733690102,-82.5486,34.3334,11277.6,False,269.82,58.25,0.0,,11605.26,7435,False,0
a2e5ec,SKW3801 ,United States,1733690101.0,1733690102,-112.2823,41.2546,4008.12,False,170.07,152.04,-5.2,,4023.36,,False,0
408124,EXS31WH ,United Kingdom,1733690101.0,1733690102,-9.4848,46.7187,11277.6,False,184.17,359.68,0.0,,11391.9,3352,False,0
4b1812,SWR736  ,Switzerland,1733690102.0,1733690102,5.3553,50.1055,10835.64,False,239.79,332.12,-5.53,,10698.48,1000,False,0
a53edd,GPD437  ,United States,1733690102.0,1733690102,-71.5192,41.2196,5387.34,False,177.47,85.68,-0.33,,5326.38,7157,False,0
a57b27,WGN215  ,United States,1733690090.0,1733690095,-118.4039,33.934,,True,0.0,84.38,,,,,False,0
