callsign,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,heading,vertical_rate,geo_altitude,position_source,extra_col_0
GLO1208 ,1733862083.0,1733862083,-46.7982,-23.8539,2567.94,False,133.88,193.56,15.61,,False,0
SWR1KV  ,1733862312.0,1733862313,9.3614,49.3882,11612.88,False,224.9,8.82,1.95,,False,0
ACA646  ,1733862120.0,1733862162,-69.9466,45.3996,11277.6,False,266.46,78.19,0.0,,False,0
SWR7MV  ,1733862309.0,1733862312,8.9229,47.496,3977.64,False,201.65,110.15,11.05,,False,0
,1733862310.0,1733862310,-92.0792,34.7211,9144.0,False,171.41,242.67,0.33,,False,0
AAL2679 ,1733862230.0,1733862231,-86.408,31.6741,11277.6,False,251.83,123.75,0.0,,False,0
N657PT  ,1733862275.0,1733862275,-87.7452,40.7176,6454.14,False,170.36,303.55,12.68,,False,0
N334GV  ,1733862108.0,1733862108,-79.4616,39.0742,12192.0,False,143.22,273.09,0.0,,False,0
VIR45W  ,1733862312.0,1733862312,-72.0179,41.1927,6751.32,False,195.1,219.65,-8.13,,False,0
N874EB  ,1733862241.0,1733862241,-118.8168,37.1895,7010.4,False,125.0,7.33,-0.33,,False,0
N357BE  ,1733862289.0,1733862289,-103.5512,40.7829,6903.72,False,196.84,246.92,-9.75,,False,0
,1733862058.0,1733862058,-90.1418,32.8109,10370.82,False,187.93,260.23,0.33,,False,0
SWR24C  ,1733862312.0,1733862312,6.6493,47.6799,10271.76,False,249.17,283.98,17.23,,False,0
JST603  ,1733862313.0,1733862313,144.5426,-37.7867,1082.04,False,131.88,241.84,-9.1,,False,0
SWA3212 ,1733862280.0,1733862280,-86.1835,40.7244,5730.24,False,203.68,330.33,-11.05,,False,0
DAL1643 ,1733862230.0,1733862231,-84.3127,33.6495,784.86,False,77.17,270.0,-3.9,,False,0
UAL1741 ,1733862310.0,1733862310,-90.6967,36.6318,10668.0,False,312.03,60.14,0.0,,False,0
JST761  ,1733862312.0,1733862312,141.1613,-34.9815,11170.92,False,240.25,90.12,3.25,,False,0
SWA4389 ,1733862310.0,1733862310,-119.4902,35.3131,11277.6,False,244.3,155.76,0.0,,False,0
N9361S  ,1733862312.0,1733862312,-88.5797,44.0062,571.5,False,46.52,79.81,2.93,,False,0
EVA009  ,1733862208.0,1733862211,121.4349,25.2267,1188.72,False,78.45,229.52,-4.23,,False,0
AIQ141  ,1733862281.0,1733862281,100.1277,14.1054,3802.38,False,173.89,90.34,-10.73,,False,0
ASA4    ,1733862310.0,1733862310,-82.0005,39.9758,11277.6,False,275.32,111.48,0.0,,False,0
DAL1324 ,1733862028.0,1733862028,-84.3838,42.898,5494.02,False,208.03,123.3,-5.85,,False,0
SWR1091 ,1733862312.0,1733862312,6.6056,46.469,5021.58,False,162.3,208.6,-6.5,,False,0
SWR28L  ,1733862281.0,1733862297,4.7764,47.4728,10424.16,False,234.5,323.83,8.45,,False,0
SWR8CL  ,1733862312.0,1733862312,9.3016,47.7294,5394.96,False,146.62,269.8,-5.2,,False,0
ENY3931 ,1733862312.0,1733862312,-84.7586,38.9825,9753.6,False,207.14,322.16,0.0,,False,0
DAL759  ,1733862229.0,1733862230,-84.4085,32.7137,7452.36,False,231.58,171.31,6.18,,False,0
,1733862064.0,1733862064,173.7909,-42.4926,5486.4,False,120.7,217.55,0.33,,False,0
N484JM  ,1733862271.0,1733862311,-97.2082,32.9011,11590.02,False,192.23,294.51,0.33,,False,0
N504CC  ,1733862313.0,1733862313,-117.5858,33.5344,3558.54,False,145.49,59.63,11.05,,False,0
JST950  ,1733862224.0,1733862224,149.5377,-30.7683,10965.18,False,224.77,339.78,0.0,,False,0
N175EM  ,1733862311.0,1733862311,-120.4967,37.4994,11277.6,False,203.44,173.61,0.0,,False,0
JST501  ,1733862313.0,1733862313,147.7274,-36.9606,10965.18,False,174.98,200.3,0.0,,False,0
N3533U  ,1733862221.0,1733862221,-88.5518,41.6757,579.12,False,48.22,219.81,-0.33,,False,0
DAL976  ,1733862309.0,1733862310,-76.2514,41.4317,10340.34,False,283.72,110.37,-12.68,,False,0
DAL2196 ,1733862313.0,1733862313,-70.994,41.5323,8374.38,False,207.95,230.52,11.7,,False,0
TAP58Y  ,1733862313.0,1733862313,-3.0374,46.699,11590.02,False,218.14,16.3,0.0,,False,0
EVA206  ,1733862281.0,1733862281,102.413,14.1233,7993.38,False,223.64,67.98,5.53,,False,0
TAP944  ,1733862102.0,1733862102,-6.9551,40.3396,10363.2,False,203.28,50.75,-0.33,,False,0
JST295  ,1733862064.0,1733862064,172.1706,-41.5599,10363.2,False,226.12,204.17,-0.33,,False,0
JST500  ,1733862313.0,1733862313,150.1608,-34.3414,6324.6,False,194.4,16.13,-7.15,,False,0
AIQ121  ,1733862109.0,1733862109,90.1101,20.397,11277.6,False,240.56,129.27,0.0,,False,0
EVA061  ,1733862281.0,1733862281,100.4355,14.2029,4335.78,False,207.99,292.7,8.13,,False,0
VJA334  ,1733862313.0,1733862313,-72.6366,36.2293,106.68,False,60.04,19.52,-3.25,,False,0
,1733862243.0,1733862243,15.4786,41.1982,13114.02,False,238.94,292.53,-0.33,,False,0
,1733862064.0,1733862064,171.6737,-43.8556,10972.8,False,217.15,239.85,-0.33,,False,0
UAL195  ,1733862064.0,1733862064,-115.5381,50.8785,11582.4,False,257.4,199.38,0.0,,False,0
,1733862117.0,1733862117,-94.6006,36.0487,10058.4,False,309.93,37.65,0.0,,False,0
N138KV  ,1733862313.0,1733862313,-85.737,43.0152,12496.8,False,262.92,104.85,0.33,,False,0
UPS2562 ,1733862229.0,1733862229,-87.1151,39.207,10363.2,False,189.12,296.15,0.0,,False,0
,1733862305.0,1733862305,109.1396,21.9025,9174.48,False,249.06,283.38,0.33,,False,0
UAL2302 ,1733862079.0,1733862079,-92.2905,37.4742,11582.4,False,176.6,218.14,0.0,,False,0
N565RG  ,1733862313.0,1733862313,-79.3158,35.5162,1203.96,False,82.76,318.78,0.0,,False,0
UAL2145 ,1733862312.0,1733862312,-87.5652,34.6538,10073.64,False,282.3,100.82,-4.88,,False,0
,1733862035.0,1733862305,-90.3516,39.6447,11277.6,False,295.3,68.75,0.0,,False,0
N881SC  ,1733862310.0,1733862313,-118.0024,33.764,998.22,False,53.29,300.77,0.65,,False,0
TAP34RZ ,1733862225.0,1733862225,1.8447,43.9752,11574.78,False,227.59,55.59,0.0,,False,0
TAP74MS ,1733862313.0,1733862313,0.9715,48.7887,11582.4,False,215.64,38.51,0.33,,False,0
ACA612  ,1733862307.0,1733862307,-79.0269,43.7846,4564.38,False,189.42,75.21,11.38,,False,0
TAP765  ,1733862312.0,1733862312,1.2333,52.3915,11582.4,False,255.76,224.1,-0.33,,False,0
DAL1537 ,1733862035.0,1733862035,-88.8811,38.8716,7741.92,False,262.87,81.22,5.53,,False,0
N266GA  ,1733862313.0,1733862313,-85.7231,43.1367,9265.92,False,195.27,277.87,-9.43,,False,0
SWR72L  ,1733862312.0,1733862313,10.1878,47.8596,6705.6,False,172.69,249.78,-0.33,,False,0
TVF59JQ ,1733862312.0,1733862312,1.973,48.5974,1470.66,False,84.3,60.78,-1.3,,False,0
SCA35   ,1733862228.0,1733862229,-111.9597,33.512,1097.28,False,56.92,263.77,1.3,,False,0
TVF8337 ,1733862225.0,1733862225,4.0766,47.2748,9966.96,False,239.5,327.81,-9.43,,False,0
EZY47VR ,1733862102.0,1733862102,-8.3326,42.7469,11582.4,False,226.88,25.52,-0.33,,False,0
EJU59EC ,1733862313.0,1733862313,12.0882,49.6666,11269.98,False,227.13,182.73,-0.33,,False,0
UPS291  ,1733862312.0,1733862312,23.1781,59.8983,9105.9,False,228.78,241.82,2.93,,False,0
SWA1794 ,1733862236.0,1733862236,-82.8452,28.7611,6873.24,False,214.57,351.03,10.73,,False,0
DAL889  ,1733862310.0,1733862310,-122.1698,47.5302,3017.52,False,135.1,190.75,-8.13,,False,0
EZY72UH ,1733862313.0,1733862313,5.6992,50.8581,10965.18,False,264.27,290.87,0.0,,False,0
,1733862229.0,1733862229,-88.1974,32.9419,10363.2,False,184.97,227.48,0.0,,False,0
JST228  ,1733862118.0,1733862226,174.6547,-38.6847,10469.88,False,219.43,8.36,-10.08,,False,0
N259CK  ,1733862312.0,1733862312,-75.2433,40.1798,3924.3,False,150.05,35.65,0.0,,False,0
TAP082  ,1733862272.0,1733862272,-46.1373,-23.4919,4434.84,False,193.31,64.8,4.55,,False,0
SWR7LW  ,1733862312.0,1733862312,7.1588,43.7082,3337.56,False,160.51,335.98,13.98,,False,0
EJA372  ,1733862292.0,1733862307,-81.5146,36.7858,13106.4,False,161.64,238.54,0.0,,False,0
EJU354K ,1733862303.0,1733862303,1.1094,46.6119,9555.48,False,198.73,357.77,-4.55,,False,0
ENY3419 ,1733862100.0,1733862106,-70.5759,21.339,10363.2,False,218.81,299.28,-0.33,,False,0
N153SG  ,1733862307.0,1733862313,-87.1223,40.0015,12496.8,False,209.61,154.25,-0.33,,False,0
,1733862073.0,1733862073,-87.8703,47.454,11887.2,False,258.9,127.74,0.0,,False,0
,1733862243.0,1733862243,-111.356,37.2507,12131.04,False,184.71,260.38,-10.08,,False,0
AAL1057 ,1733862313.0,1733862313,-91.3613,43.342,10363.2,False,208.82,261.07,0.0,,False,0
ANZ104M ,1733862134.0,1733862134,175.1029,-37.8434,6332.22,False,133.82,358.24,-6.5,,False,0
,1733862226.0,1733862228,-112.1059,33.6899,457.2,False,43.27,108.0,-3.25,,False,0
ANZ013M ,1733862118.0,1733862118,176.8711,-39.2819,1318.26,False,110.1,89.2,-4.88,,False,0
JBU1191 ,1733862313.0,1733862313,-70.7489,41.8334,6225.54,False,188.1,204.39,8.45,,False,0
,1733862229.0,1733862250,-113.5507,34.4242,11277.6,False,262.58,72.2,0.0,,False,0
SLASH72 ,1733862088.0,1733862088,-90.9211,33.7122,609.6,False,82.23,259.18,3.25,,False,0
PGT702  ,1733862182.0,1733862182,45.3664,40.3541,10050.78,False,245.11,79.85,0.33,,False,0
,1733862272.0,1733862272,-73.4293,40.4428,5143.5,False,181.83,15.26,0.0,,False,0
UPS243  ,1733862312.0,1733862312,1.9388,40.8776,3093.72,False,153.72,69.02,0.33,,False,0
ETH731  ,1733862220.0,1733862240,18.055,48.9085,9380.22,False,135.04,195.47,-5.85,,False,0
