icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,heading,vertical_rate,geo_altitude,squawk,spi,position_source,extra_col_0,temperature,humidity,wind_speed,city,latitude,longitude,distance,delayed
511142,ESTWN   ,Estonia,1730559615.0,1730559617,8.9716,46.1589,1059.18,False,72.82,66.7,1.63,,1203.96,7000.0,False,0,13.12,49,6.69,New York,40.7128,-74.006,6430.779794415557,0
3ffc29,DMFSS   ,Germany,1730559829.0,1730559831,12.4344,48.2624,518.16,False,41.47,348.55,-0.33,,,7000.0,False,0,13.12,49,6.69,New York,40.7128,-74.006,6555.656075451212,0
4b1818,SWR4CQ  ,Switzerland,1730559841.0,1730559841,8.5683,47.4557,,True,8.75,95.62,,,,3057.0,False,0,13.12,49,6.69,New York,40.7128,-74.006,6338.608627972823,0
e8027b,LAN711  ,Chile,1730559842.0,1730559842,-3.7577,40.6395,2194.56,False,142.03,268.55,5.2,,2331.72,3712.0,False,0,13.12,49,6.69,New York,40.7128,-74.006,5768.084163752588,0
aa3cbe,N759PA  ,United States,1730559812.0,1730559814,-111.9146,41.9301,2316.48,False,51.14,306.41,-1.3,,2301.24,,False,0,12.67,81,1.54,Los Angeles,34.0522,-118.2437,1035.4764904802807,0
aa56db,UAL342  ,United States,1730559842.0,1730559843,-92.9391,44.4962,5318.76,False,194.28,176.66,9.75,,5394.96,,False,0,8.98,71,5.81,Chicago,41.8781,-87.6298,520.2943051127978,0
408124,EXS45YK ,United Kingdom,1730559843.0,1730559843,18.5207,46.1534,11277.6,False,245.63,127.85,0.0,,11673.84,4631.0,False,0,13.12,49,6.69,New York,40.7128,-74.006,7071.992089216336,1
4b1812,SWR7GP  ,Switzerland,1730559842.0,1730559842,5.2342,49.7997,11285.22,False,222.17,129.55,0.0,,11757.66,2013.0,False,0,13.12,49,6.69,New York,40.7128,-74.006,6006.895721271345,1
ade18c,AAL2192 ,United States,1730559842.0,1730559843,-101.2215,32.421,9753.6,False,222.54,265.09,0.0,,10172.7,,False,0,12.67,81,1.54,Los Angeles,34.0522,-118.2437,1594.9276314285787,0
abd9d9,SWA1646 ,United States,1730559842.0,1730559843,-102.7527,38.974,10972.8,False,226.97,293.37,0.0,,11224.26,3262.0,False,0,8.98,71,5.81,Chicago,41.8781,-87.6298,1321.288017083756,1
a665b9,LXJ511  ,United States,1730559841.0,1730559842,-79.5456,33.2458,3695.7,False,189.83,49.84,-12.68,,3878.58,5373.0,True,0,13.12,49,6.69,New York,40.7128,-74.006,963.8271912525083,0
880459,AIQ3426 ,Thailand,1730559611.0,1730559611,99.7855,17.2316,10027.92,False,242.66,164.25,3.25,,10050.78,,False,0,12.67,81,1.54,Los Angeles,34.0522,-118.2437,13052.508134934676,1
801645,AIC216  ,India,1730559840.0,1730559840,80.5266,28.8696,10980.42,False,209.59,285.81,0.0,,11597.64,,False,0,13.12,49,6.69,New York,40.7128,-74.006,11867.029864267857,1
801643,AXB2691 ,India,1730559842.0,1730559842,80.1763,13.1269,1234.44,False,139.07,344.11,10.08,,1203.96,,False,0,13.12,49,6.69,New York,40.7128,-74.006,13480.431600033047,0
440da5,EJU65DE ,Austria,1730559828.0,1730559828,-9.4063,35.044,10668.0,False,244.4,183.86,0.0,,11102.34,3337.0,False,0,13.12,49,6.69,New York,40.7128,-74.006,5589.84499332465,1
a7b097,N595GG  ,United States,1730559842.0,1730559842,-80.0446,25.9778,152.4,False,45.95,21.68,-1.3,,167.64,1200.0,False,0,13.12,49,6.69,New York,40.7128,-74.006,1727.0836516895142,0
aadc0d,N79915  ,United States,1730559837.0,1730559838,-74.4015,41.1702,960.12,False,45.28,1.3,2.28,,1013.46,1200.0,False,0,13.12,49,6.69,New York,40.7128,-74.006,60.740268042503914,0
a9fc9d,N7422G  ,United States,1730559771.0,1730559773,-83.5365,35.8421,457.2,False,49.81,38.29,-2.28,,510.54,,False,0,8.98,71,5.81,Chicago,41.8781,-87.6298,758.1963229357046,0
880452,AIQ3168 ,Thailand,1730559842.0,1730559842,100.0343,15.6958,11582.4,False,233.91,184.92,0.0,,12374.88,,False,0,12.67,81,1.54,Los Angeles,34.0522,-118.2437,13175.907235425113,1
3ffc21,DMADH   ,Germany,1730559842.0,1730559842,7.456,53.0846,1219.2,False,66.14,185.36,-0.33,,1371.6,7000.0,False,0,13.12,49,6.69,New York,40.7128,-74.006,6010.492257760605,0
80162f,VTI850  ,India,1730559838.0,1730559838,77.6654,13.3849,4320.54,False,159.91,312.0,15.93,,4480.56,,False,0,13.12,49,6.69,New York,40.7128,-74.006,13345.573192115422,0
a678e5,JTZ516  ,United States,1730559842.0,1730559842,-88.7009,43.05,7155.18,False,224.9,21.05,-4.55,,7322.82,1541.0,False,0,8.98,71,5.81,Chicago,41.8781,-87.6298,157.18016042500474,0
a305fd,SKW3790 ,United States,1730559842.0,1730559843,-122.0723,47.7661,1584.96,False,134.19,258.95,-4.23,,1508.76,,False,0,12.67,81,1.54,Los Angeles,34.0522,-118.2437,1556.2264047335493,0
880456,AIQ3112 ,Thailand,1730559575.0,1730559575,100.6179,10.7218,11285.22,False,230.03,181.41,0.33,,12062.46,,False,0,12.67,81,1.54,Los Angeles,34.0522,-118.2437,13579.724178397437,1
e49405,GLO1927 ,Brazil,1730559840.0,1730559840,-46.6973,-23.3047,2659.38,False,137.38,277.1,-7.48,,2842.26,,False,0,13.12,49,6.69,New York,40.7128,-74.006,7630.140731481263,0
aaf640,WUP805  ,United States,1730559842.0,1730559842,-82.1167,33.2503,7315.2,False,148.08,175.62,0.0,,7719.06,6614.0,False,0,8.98,71,5.81,Chicago,41.8781,-87.6298,1073.736239697809,0
4b1803,SWR97D  ,Switzerland,1730559842.0,1730559842,7.3017,52.373,11887.2,False,238.69,193.59,-0.33,,12313.92,3533.0,False,0,13.12,49,6.69,New York,40.7128,-74.006,6030.709257600775,1
4b1804,SWR2DH  ,Switzerland,1730559842.0,1730559842,8.5561,47.452,,True,9.26,154.69,,,,1000.0,False,0,13.12,49,6.69,New York,40.7128,-74.006,6337.964303987525,0
a21b85,EPI235  ,United States,1730559841.0,1730559842,-80.9793,29.0568,121.92,False,44.18,207.76,-0.65,,167.64,,False,0,13.12,49,6.69,New York,40.7128,-74.006,1440.4489663865731,0
4b1805,SWR109A ,Switzerland,1730559836.0,1730559838,8.5606,47.4428,304.8,True,0.0,244.69,,,,2000.0,False,0,13.12,49,6.69,New York,40.7128,-74.006,6338.719972260098,0
39d228,FHURI1  ,France,1730559841.0,1730559842,7.1652,43.2676,861.06,False,74.22,273.58,-1.3,,1013.46,,False,0,13.12,49,6.69,New York,40.7128,-74.006,6452.034395486957,0
a34e6a,ENY3517 ,United States,1730559842.0,1730559842,-86.6912,39.5523,7543.8,False,233.98,43.49,-4.88,,7856.22,3446.0,False,0,8.98,71,5.81,Chicago,41.8781,-87.6298,270.1734021538648,0
3ffc33,DMYVV   ,Germany,1730559842.0,1730559842,12.0885,49.8423,1333.5,False,53.75,275.49,1.95,,1485.9,7000.0,False,0,13.12,49,6.69,New York,40.7128,-74.006,6452.560663612111,0
80163d,IGO6149 ,India,1730559839.0,1730559839,77.1764,8.3371,2072.64,False,104.77,218.22,-10.4,,2095.5,,False,0,13.12,49,6.69,New York,40.7128,-74.006,13827.597025035526,0
4b1807,SWR181V ,Switzerland,1730559842.0,1730559842,10.3703,44.9746,11582.4,False,230.52,292.16,0.0,,12047.22,2030.0,False,0,13.12,49,6.69,New York,40.7128,-74.006,6588.759935439457,1
880450,AIQ170  ,Thailand,1730559629.0,1730559632,98.7225,14.2421,8351.52,False,223.49,281.96,2.93,,8915.4,,False,0,12.67,81,1.54,Los Angeles,34.0522,-118.2437,13388.74714563887,0
4b1808,SWR1QW  ,Switzerland,1730559837.0,1730559842,17.9314,59.6537,,True,0.0,219.38,,,,260.0,False,0,13.12,49,6.69,New York,40.7128,-74.006,6314.902607533931,0
aa56d5,UAL1690 ,United States,1730559843.0,1730559843,-95.6897,42.5848,10972.8,False,173.46,268.13,0.0,,11201.4,,False,0,8.98,71,5.81,Chicago,41.8781,-87.6298,669.6973395947338,1
ad3c00,N9519Q  ,United States,1730559815.0,1730559815,-91.5092,43.1957,1249.68,False,84.43,288.1,0.0,,1318.26,,False,0,8.98,71,5.81,Chicago,41.8781,-87.6298,350.6501594385324,0
4b1801,SWR59K  ,Switzerland,1730559813.0,1730559813,6.1001,46.2297,,True,7.2,225.0,,,,,False,0,13.12,49,6.69,New York,40.7128,-74.006,6228.676569029252,0
4b1802,SWR238  ,Switzerland,1730559842.0,1730559842,31.0649,31.3807,7330.44,False,183.36,167.52,-9.43,,7589.52,1614.0,False,0,13.12,49,6.69,New York,40.7128,-74.006,8929.463370193307,0
acdfa5,N929AM  ,United States,1730559842.0,1730559842,-72.6442,41.741,1874.52,False,83.72,230.74,0.0,,1912.62,3570.0,False,0,13.12,49,6.69,New York,40.7128,-74.006,161.4787114777042,0
a4d870,N411GC  ,United States,1730559842.0,1730559842,-81.601,28.3251,563.88,False,85.01,141.88,0.0,,617.22,,False,0,13.12,49,6.69,New York,40.7128,-74.006,1539.4621932456603,0
a3f2c6,N3533U  ,United States,1730559679.0,1730559827,-88.7775,41.6619,792.48,False,36.45,188.93,-2.93,,914.4,,False,0,8.98,71,5.81,Chicago,41.8781,-87.6298,98.40344868322454,0
ac4963,DAL2922 ,United States,1730559842.0,1730559842,-122.261,47.1663,3291.84,False,164.47,161.4,5.53,,3169.92,,False,0,12.67,81,1.54,Los Angeles,34.0522,-118.2437,1494.8931530210032,0
aaef60,AAL218  ,United States,1730559843.0,1730559843,-81.3682,30.0425,11277.6,False,229.23,357.04,-0.33,,11902.44,4661.0,True,0,13.12,49,6.69,New York,40.7128,-74.006,1358.5208931532452,1
aae316,AAL2517 ,United States,1730559843.0,1730559843,-103.9901,33.7398,11582.4,False,249.04,343.44,0.0,,11963.4,,False,0,12.67,81,1.54,Los Angeles,34.0522,-118.2437,1317.8085405095374,1
ab5cd1,FTH831  ,United States,1730559841.0,1730559842,-74.9314,39.0052,3558.54,False,116.52,227.51,17.88,,3688.08,,False,0,13.12,49,6.69,New York,40.7128,-74.006,205.46617330926225,0
880441,,Thailand,1730559842.0,1730559842,100.2068,11.2259,10965.18,False,227.3,353.5,0.0,,11689.08,,False,0,12.67,81,1.54,Los Angeles,34.0522,-118.2437,13562.826197226084,1
